Year,Trade Flow Code(1=import),,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2013,2,export,156,China,CHN,4,Afghanistan,AFG,2,Meat and edible meat offal,6349097
2013,2,export,156,China,CHN,8,Albania,ALB,2,Meat and edible meat offal,6705000
2013,2,export,156,China,CHN,12,Algeria,DZA,2,Meat and edible meat offal,197
2013,2,export,156,China,CHN,24,Angola,AGO,2,Meat and edible meat offal,469486
2013,2,export,156,China,CHN,31,Azerbaijan,AZE,2,Meat and edible meat offal,4195800
2013,1,import,156,China,CHN,32,Argentina,ARG,2,Meat and edible meat offal,92360419
2013,1,import,156,China,CHN,36,Australia,AUS,2,Meat and edible meat offal,1131885843
2013,2,export,156,China,CHN,44,Bahamas,BHS,2,Meat and edible meat offal,121007
2013,2,export,156,China,CHN,48,Bahrain,BHR,2,Meat and edible meat offal,18451384
2013,2,export,156,China,CHN,51,Armenia,ARM,2,Meat and edible meat offal,1576982
2013,1,import,156,China,CHN,56,Belgium,BEL,2,Meat and edible meat offal,11311482
2013,2,export,156,China,CHN,56,Belgium,BEL,2,Meat and edible meat offal,11848976
2013,1,import,156,China,CHN,76,Brazil,BRA,2,Meat and edible meat offal,490409554
2013,2,export,156,China,CHN,96,Brunei Darussalam,BRN,2,Meat and edible meat offal,1058954
2013,2,export,156,China,CHN,116,Cambodia,KHM,2,Meat and edible meat offal,490220
2013,1,import,156,China,CHN,124,Canada,CAN,2,Meat and edible meat offal,377979400
2013,2,export,156,China,CHN,148,Chad,TCD,2,Meat and edible meat offal,1696
2013,1,import,156,China,CHN,152,Chile,CHL,2,Meat and edible meat offal,93586522
2013,1,import,156,China,CHN,188,Costa Rica,CRI,2,Meat and edible meat offal,853502
2013,2,export,156,China,CHN,203,Czechia,CZE,2,Meat and edible meat offal,3987089
2013,1,import,156,China,CHN,208,Denmark,DNK,2,Meat and edible meat offal,413755787
2013,1,import,156,China,CHN,251,France,FRA,2,Meat and edible meat offal,193191329
2013,2,export,156,China,CHN,251,France,FRA,2,Meat and edible meat offal,1469677
2013,2,export,156,China,CHN,262,Djibouti,DJI,2,Meat and edible meat offal,1977
2013,2,export,156,China,CHN,268,Georgia,GEO,2,Meat and edible meat offal,12267175
2013,2,export,156,China,CHN,275,State of Palestine,PSE,2,Meat and edible meat offal,918077
2013,1,import,156,China,CHN,276,Germany,DEU,2,Meat and edible meat offal,410688352
2013,2,export,156,China,CHN,276,Germany,DEU,2,Meat and edible meat offal,10989002
2013,2,export,156,China,CHN,308,Grenada,GRD,2,Meat and edible meat offal,326
2013,2,export,156,China,CHN,344,"China, Hong Kong SAR",HKG,2,Meat and edible meat offal,680344011
2013,2,export,156,China,CHN,364,Iran,IRN,2,Meat and edible meat offal,62675
2013,2,export,156,China,CHN,368,Iraq,IRQ,2,Meat and edible meat offal,2344024
2013,1,import,156,China,CHN,372,Ireland,IRL,2,Meat and edible meat offal,48401668
2013,2,export,156,China,CHN,376,Israel,ISR,2,Meat and edible meat offal,116341
